Happiness Score,Economy (GDP per Capita),Generosity
7.587,1.39651,0.29678
7.561,1.30232,0.4363
7.527,1.32548,0.34139
7.522,1.459,0.34699
7.427,1.32629,0.45811
7.406,1.29025,0.23351
7.378,1.32944,0.4761
7.364,1.33171,0.36262
7.286,1.25018,0.47501
7.284,1.33358,0.43562
7.278,1.22857,0.33172
7.226,0.95578,0.25497
7.2,1.33723,0.33088
7.187,1.02054,0.14074
7.119,1.39451,0.40105
6.983,0.98124,0.14574
6.946,1.56391,0.28034
6.94,1.33596,0.45901
6.937,1.30782,0.2225
6.901,1.42727,0.26428
6.867,1.26637,0.51912
6.853,1.36011,0.21542
6.81,1.04424,0.05841
6.798,1.52186,0.31105
6.786,1.06353,0.24434
6.75,1.32792,0.28214
6.67,1.10715,0.33363
6.611,1.69042,0.32573
6.575,1.27778,0.12332
6.574,1.05351,0.11451
6.505,1.17898,0.10686
6.485,1.06166,0.2324
6.477,0.91861,0.18401
6.455,0.9669,0.5763
6.411,1.39541,0.13706
6.329,1.23011,0.18227
6.302,1.2074,0.51752
6.298,1.29098,0.25376
6.295,1.55422,0.16228
6.269,0.99534,0.16991
6.168,1.21183,0.31844
6.13,0.76454,0.10692
6.123,0.74553,0.27489
6.003,0.63244,0.22837
5.995,1.16891,0.16893
5.987,1.27074,0.10705
5.984,1.24461,0.18557
5.975,0.86402,0.11541
5.96,1.32376,0.17362
5.948,1.25114,0.22823
5.89,0.68133,0.20536
5.889,0.59448,0.20951
5.878,0.75985,0.3424
5.855,1.12254,0.11827
5.848,1.18498,0.25328
5.833,1.14723,0.02641
5.828,0.59325,0.27815
5.824,0.90019,0.14982
5.813,1.03192,0.11046
5.791,1.12555,0.16759
5.77,1.12486,0.33075
5.759,1.08254,0.05444
5.754,1.13145,0.18295
5.716,1.13764,0.00199
5.709,0.81038,0.2123
5.695,1.20806,0.26169
5.689,1.20813,0.30638
5.605,0.93929,0.07822
5.589,0.80148,0.2831
5.548,0.95847,0.16979
5.477,1.00761,0.37744
5.474,1.38604,0.39478
5.429,1.15174,0.0868
5.399,0.82827,0.51535
5.36,0.63216,0.1686
5.332,1.06098,0.12253
5.286,0.47428,0.3003
5.268,0.65435,0.27233
5.253,0.77042,0.47998
5.212,1.02389,0.07799
5.194,0.59543,0.33671
5.192,0.90198,0.11053
5.192,0.97438,0.1614
5.14,0.89012,0.08185
5.129,0.47038,0.19591
5.124,1.04345,0.13748
5.123,0.92053,0.19231
5.102,1.15991,0.13719
5.098,1.11312,0.18226
5.073,0.70532,0.24991
5.057,0.18847,0.50318
5.013,0.73479,0.07172
5.007,0.91851,0.22359
4.971,0.08308,0.22269
4.959,0.87867,0.14272
4.949,0.83223,0.24808
4.898,0.37545,0.16388
4.885,0.89537,0.21684
4.876,0.59066,0.42192
4.874,0.82819,0.3323
4.867,0.71206,0.18259
4.857,1.15406,0
4.839,1.02564,0.21854
4.8,1.12094,0.128
4.788,0.59532,0.23027
4.786,0.39047,0.22974
4.739,0.88113,0.06431
4.715,0.59867,0.11251
4.694,0.39753,0.21222
4.686,1.0088,0.38086
4.681,0.79907,0.15275
4.677,0.98549,0.17922
4.642,0.92049,0.11973
4.633,0.54558,0.23087
4.61,0.271,0.18987
4.571,0.0712,0.24362
4.565,0.64499,0.26475
4.55,0.52107,0.19062
4.518,0.26673,0.46187
4.517,0,0.24834
4.514,0.35997,0.32296
4.512,0.19073,0.24325
4.507,0.33024,0.21488
4.436,0.45407,0.219
4.419,0.36471,0.37542
4.369,0.44025,0.18093
4.35,0.76821,0.07855
4.332,0.99355,0.10461
4.307,0.27108,0.79588
4.297,0.7419,0.05547
4.292,0.01604,0.33128
4.271,0.83524,0.40828
4.252,0.4225,0.20618
4.218,1.01216,0.11921
4.194,0.8818,0.11291
4.077,0.54649,0.09131
4.033,0.75778,0.12344
3.995,0.26074,0.18798
3.989,0.67866,0.12388
3.956,0.23906,0.17441
3.931,0.21102,0.29066
3.904,0.36498,0.20843
3.896,1.06024,0.06822
3.845,0.0694,0.19387
3.819,0.46038,0.40359
3.781,0.2852,0.34377
3.681,0.20824,0.21333
3.678,0.0785,0.23835
3.667,0.34193,0.18386
3.656,0.17417,0.28657
3.655,0.46534,0.20165
3.587,0.25812,0.21747
3.575,0.31982,0.3651
3.465,0.22208,0.22628
3.34,0.28665,0.1826
3.006,0.6632,0.47179
2.905,0.0153,0.19727
2.839,0.20868,0.16681
7.526,1.44178,0.36171
7.509,1.52733,0.28083
7.501,1.42666,0.47678
7.498,1.57744,0.37895
7.413,1.40598,0.25492
7.404,1.44015,0.44834
7.339,1.46468,0.47416
7.334,1.36066,0.49401
7.313,1.44443,0.47407
7.291,1.45181,0.38254
7.267,1.33766,0.32288
7.119,1.45038,0.32865
7.104,1.50796,0.41077
7.087,1.06879,0.22553
7.039,1.35943,0.22202
6.994,1.44787,0.30452
6.952,1.08754,0.15776
6.929,1.42539,0.2424
6.907,1.48341,0.44963
6.871,1.69752,0.27571
6.778,1.11508,0.11735
6.739,1.64555,0.32706
6.725,1.40283,0.50156
6.705,1.2167,0.31595
6.701,1.18306,0.2418
6.65,1.15137,0.10989
6.596,1.30915,0.09929
6.573,1.57352,0.26591
6.545,1.18157,0.18056
6.488,1.30782,0.56237
6.481,1.03032,0.15626
6.478,1.39488,0.1216
6.474,1.0893,0.58696
6.379,1.48953,0.15457
6.379,1.39729,0.25495
6.375,1.82427,0.32388
6.361,1.34253,0.17665
6.355,1.05266,0.07044
6.324,0.83454,0.28808
6.269,1.09686,0.16665
6.239,1.61714,0.15965
6.218,1.44024,0.17147
6.168,1.32572,0.31935
6.084,1.13367,0.0425
6.078,1.27973,0.13837
6.068,0.8737,0.08877
6.005,1.25142,0.41474
5.992,0.69384,0.29773
5.987,0.73591,0.34326
5.977,1.35495,0.16684
5.976,0.97306,0.10074
5.956,0.87616,0.23684
5.921,1.38007,0.10224
5.919,1.22943,0.15011
5.897,0.69177,0.19997
5.856,1.23228,0.02736
5.835,1.24585,0.14443
5.835,1.35948,0.18824
5.822,0.79422,0.21698
5.813,1.2692,0.02025
5.802,1.13062,0.13942
5.771,1.31141,0.26322
5.768,1.29947,0.25738
5.743,0.99602,0.14527
5.658,1.08017,0.22567
5.648,1.14372,0.36951
5.615,1.06688,0.17087
5.56,1.21788,0.17445
5.546,1.31857,0.27906
5.538,0.89373,0.25296
5.528,1.1697,0.12889
5.517,1.27964,0.08423
5.51,0.89333,0.22245
5.488,1.18649,0.18434
5.458,1.5107,0.40097
5.44,0,0.27225
5.401,0.90145,0.27992
5.389,1.16492,0.04707
5.314,0.95104,0.56521
5.303,0.99673,0.14262
5.291,1.12373,0.0564
5.279,0.81217,0.21674
5.245,1.0278,0.04959
5.196,0.8527,0.48546
5.185,0.56044,0.38432
5.177,1.03437,0.20737
5.163,0.93383,0.29889
5.161,1.07838,0.17191
5.155,1.02787,0.21286
5.151,0.84058,0.04053
5.145,1.24142,0.099
5.132,0.68816,0.31185
5.129,1.12268,0.23693
5.123,1.27607,0.11691
5.121,1.0193,0.23507
5.061,0.74037,0.25075
5.057,0.25558,0.51479
5.045,0.97724,0.03936
5.033,1.24886,0
4.996,0.48835,0.25998
4.907,0.98853,0.34539
4.876,0.68042,0.43079
4.875,0.75216,0.23219
4.871,0.69429,0.2044
4.813,1.11758,0.38538
4.795,0.61202,0.17866
4.793,0.44626,0.3816
4.754,0.67024,0.11154
4.655,0.9553,0.1684
4.643,0.54177,0.19132
4.635,0.36485,0.23897
4.575,1.07474,0.19589
4.574,0.93287,0.07795
4.513,0.52497,0.2268
4.508,0.29283,0.29522
4.459,1.02416,0.13656
4.415,0.97318,0.46978
4.404,0.74036,0.25028
4.395,0.34112,0.81971
4.362,0.95395,0.12706
4.36,0.86086,0.07793
4.356,0.52267,0.41328
4.324,0.87287,0.20363
4.276,0.63107,0.21203
4.272,0.05661,0.25458
4.252,0.83792,0.06786
4.236,0.77109,0.12077
4.219,0.44314,0.19103
4.217,1.11306,0.12793
4.201,0.61391,0.22686
4.193,0.35041,0.18503
4.156,0.08709,0.30968
4.139,0.63069,0.18077
4.121,1.15851,0.06244
4.073,0.31292,0.21064
4.028,0.34097,0.47958
3.974,1.09426,0.12425
3.956,0.27509,0.1827
3.916,0.55507,0.20338
3.907,0.55604,0.40339
3.866,0.84731,0.12071
3.856,0.1327,0.2097
3.832,0.39394,0.25899
3.763,0.42214,0.18667
3.739,0.31995,0.24353
3.739,0.34719,0.27102
3.724,0.57939,0.09821
3.695,0.27954,0.2204
3.666,0.47155,0.31472
3.622,0.10706,0.24063
3.607,0.22415,0.29914
3.515,0.32846,0.23552
3.484,0.39499,0.2018
3.36,0.38227,0.31268
3.303,0.28123,0.17517
3.069,0.74719,0.48397
2.905,0.06831,0.2029
7.537000179,1.616463184,0.362012237
7.521999836,1.482383013,0.355280489
7.504000187,1.48063302,0.475540221
7.493999958,1.564979553,0.290549278
7.468999863,1.443571925,0.245482773
7.376999855,1.503944635,0.47048983
7.315999985,1.479204416,0.435539722
7.31400013,1.405706048,0.500005126
7.28399992,1.494387269,0.385399252
7.28399992,1.484414935,0.47769925
7.212999821,1.375382423,0.330082655
7.078999996,1.109706283,0.214613229
7.006000042,1.487097263,0.316472322
6.993000031,1.546259284,0.392578781
6.977000237,1.535706639,0.427858323
6.951000214,1.487923384,0.33626917
6.890999794,1.463780761,0.231503338
6.862999916,1.741943598,0.283180982
6.714000225,1.44163394,0.492774159
6.65199995,1.25278461,0.326662421
6.647999763,1.626343369,0.360941947
6.635000229,1.10735321,0.162349895
6.609000206,1.352682352,0.088106759
6.598999977,1.185295463,0.109457061
6.578000069,1.153183818,0.120990433
6.572000027,1.69227767,0.345965981
6.52699995,1.343279839,0.574730575
6.453999996,1.217559695,0.175096929
6.453999996,0.872001946,0.283488393
6.452000141,1.233748436,0.210556939
6.441999912,1.430923462,0.129762307
6.423999786,1.127868772,0.57212311
6.421999931,1.433626533,0.258360475
6.402999878,1.384397864,0.190133572
6.375,1.870765686,0.33047387
6.356999874,1.070622325,0.149014473
6.343999863,1.530623555,0.147616014
6.168000221,1.361355901,0.325296462
6.105000019,1.632952452,0.228289798
6.09800005,1.325393558,0.136544481
