Ladder score,Healthy life expectancy,Freedom to make life choices
2.566900015,0.266051531,0.396573007
4.882699966,0.846329629,0.781994224
5.005099773,0.745418549,0.466610909
5.974699974,0.849773705,0.831132412
4.676799774,0.77585727,0.712017834
7.222799778,1.022607684,0.915431738
7.294199944,1.000933528,0.899989486
5.164800167,0.731134057,0.786824107
6.227300167,0.838836372,0.905855775
4.832799911,0.694940507,0.90062499
5.539899826,0.75258857,0.639163077
6.863500118,0.964901149,0.813582063
5.21600008,0.328062952,0.735182583
5.747499943,0.662445664,0.875873327
5.674099922,0.813928187,0.651352704
3.478899956,0.494101733,0.821328104
6.375599861,0.766119063,0.799804807
5.101500034,0.777776897,0.745178163
4.768700123,0.312833875,0.665563583
3.775300026,0.295212835,0.626350224
4.848400116,0.587904334,0.959704638
5.084899902,0.270189553,0.763051808
7.23210001,1.022501945,0.933913231
3.475899935,0,0.640880644
4.422699928,0.1087441,0.587305248
6.228499889,0.889260828,0.744896293
5.123899937,0.867248535,0.898517907
6.163400173,0.810020149,0.836179912
4.288599968,0.437383324,0.547612607
5.194399834,0.458101124,0.719058514
7.121399879,0.939635336,0.934738934
5.504700184,0.900575578,0.714838803
6.15899992,1.026124597,0.779858291
6.910900116,0.89456445,0.818537354
4.31099987,0.277212054,0.700793564
7.645599842,0.979332566,0.951444268
5.689199924,0.741901696,0.866202772
5.925199986,0.838837743,0.859828949
4.151400089,0.596911311,0.708354175
6.34829998,0.752730012,0.833805263
6.021800041,0.842615008,0.87770915
4.186200142,0.483846247,0.740795195
7.808700085,0.961271405,0.949172199
6.663799763,1.029714227,0.825467646
4.829299927,0.522574842,0.704829216
4.750599861,0.353247881,0.733163178
4.672599792,0.694657624,0.801641524
7.075799942,0.972114801,0.867371082
5.147999763,0.432162255,0.794796526
5.514999866,0.979431748,0.541345119
6.398900032,0.705952585,0.908147573
4.949299812,0.333655238,0.706846774
3.720799923,0.37436673,0.537825167
5.953199863,0.791989982,0.870603263
5.510399818,1.136630654,0.779833794
6.000400066,0.806793869,0.718964577
7.504499912,1.000843406,0.948891878
3.573299885,0.54057014,0.881444871
5.285600185,0.610437036,0.870614409
4.672399998,0.749053836,0.647873282
4.784800053,0.529350698,0.633182645
7.093699932,0.975670695,0.886982977
7.128600121,1.008052945,0.747580588
6.38740015,1.022504926,0.66465199
5.233300209,0.154942513,0.727909327
5.889800072,0.788434088,0.858068526
5.870800018,1.072881341,0.809961379
4.633399963,0.777624726,0.75104779
6.057899952,0.698788941,0.811601937
4.583000183,0.536312759,0.829747558
6.325200081,0.672709167,0.861535907
6.102099895,0.776468933,0.872366488
5.541500092,0.680645883,0.909374893
4.888599873,0.486378282,0.907213569
5.949999809,0.777902424,0.671237648
4.771500111,0.788671136,0.551357508
3.652800083,0.100934811,0.738125861
4.557899952,0.392284274,0.735268712
5.488800049,0.615626633,0.773157001
6.215499878,0.795421183,0.747381449
7.237500191,0.986442685,0.90563643
5.159800053,0.802994132,0.738840938
4.165599823,0.500617027,0.557574093
3.538000107,0.446163297,0.803223193
5.384300232,0.788511872,0.894626856
5.197599888,0.914439559,0.853962779
4.729300022,0.234981522,0.71156615
6.772799969,0.972042024,0.924911439
4.374599934,0.425184816,0.551522553
6.101299763,0.763389409,0.889534533
6.465000153,0.831601024,0.858709276
5.607500076,0.713299453,0.721609175
5.456200123,0.615788162,0.693351328
5.54610014,0.839028895,0.649565637
5.094799995,0.745096922,0.772072434
4.623600006,0.324223638,0.864451885
4.308000088,0.495443076,0.895075202
4.571100235,0.40687117,0.767520964
5.137199879,0.66887939,0.797565043
7.448900223,0.975675344,0.908547819
7.299600124,1.008138299,0.936217487
6.13710022,0.803093255,0.863902867
4.909599781,0.298816353,0.759772122
4.724100113,0.167835936,0.759578407
5.53550005,1.026124597,0.79529351
7.487999916,1.008071899,0.955750287
5.69329977,0.469933242,0.734833717
4.552800179,0.613826573,0.645791829
6.304800034,0.878546536,0.880366504
5.692100048,0.735869646,0.885923445
5.796800137,0.824444175,0.824766099
6.006000042,0.602189481,0.915463448
6.186299801,0.868038476,0.862055779
5.910900116,0.979315281,0.888747811
6.123700142,0.79229486,0.842823207
5.546000004,0.68044591,0.729892612
3.312299967,0.572383285,0.900589406
2.816600084,0.208809033,0.451313615
6.406499863,0.759818137,0.854191244
